Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Full Description
Sky.Garden,https://www.crunchbase.com/organization/sky-garden,"E-Commerce, Internet, Mobile Payments, SaaS, Trading Platform","Nairobi, Nairobi Area, Kenya",Sky.Garden is SaaS ecommerce platform that helps retail stores digitize offline and online sales.,"19,789","Sky.Garden is a SaaS ecommerce platform that allows African retailers to sell inventory with ease.  Sky.Garden gives back control to the individual retailer by allowing inventory control and immediate payment reconciliation in an automated platform, where local shipping and payment options come out-of-the-box."
Venture Garden Group,https://www.crunchbase.com/organization/venturegarden-group,"Information Technology, Software, Venture Capital","Lagos, Lagos, Nigeria",Venture Garden Nigeria is a holding company for a group of financial technology entities.,"19,887","Venture Garden Group (VGG) is a collection of companies that develop automated data capture, data management, billing and payment processing solutions for emerging markets, particularly Africa – in several sectors ranging from financial services, education, aviation, power, downstream oil and gas and healthcare sectors."
Bankly,https://www.crunchbase.com/organization/bankly,"Finance, Financial Services, Peer to Peer","Lagos, Lagos, Nigeria",Bankly is a cash digitisation savings product that allows users top up their wallet using vouchers.,"20,152","Bankly is a digital savings and peer to peer transfer product where users fund their wallet using tokens available on Bankly vouchers nationwide in a “Recharge to save” model. This cash digitisation system is similar to the telco mobile airtime top up and is currently available on MTN and 9mobile networks in Nigeria. Financial services has to be seen through the lenses of a fast moving consumer product in order to reach the last mile and the use of vouchers has been proven to be a successful cash digitisation system by the telecoms industry. Leveraging this existing consumer behaviour to drive financial inclusion, reduce cost of financial services and create a foundation to provide other financial services is where Bankly identifies huge potential and is poised to make an impact."
Sendchamp,https://www.crunchbase.com/organization/sendchamp,"CRM, Software, Telecommunications, Unified Communications","Lagos, Lagos, Nigeria",Sendchamp provides Communication APIs & CRM for developers & businesses in Africa to reach their customers via different messaging channels.,"20,219","Messagebird For Africa: Sendchamp provides Communication APIs & CRM for developers & businesses to reach their customers via different messaging channels such as SMS, Email, Voice, Whatsapp, and other digital messaging channels.  Our APIs and No code tools help businesses in Africa from the stage of Customer Onboarding, Customer Engagement, Customer Service & Customer Retention."
Unitel,https://www.crunchbase.com/organization/unitel-2,"Mobile, Telecommunications","Belas, Luanda, Angola",A pioneer company in the mobile telecommunications market in Angola.,"20,449","Unitel, the largest mobile operator in Angola . An Angolan company, an example of success, a reason for national pride.   A modern company with young staff, Unitel has revolutionized the telecommunications area for the quality and innovation of the services it introduces in the market, such as the international call service and the access to the Net in LTE 4G.   Since its inception, Unitel has been democratizing access to mobile phones and telecommunications, bringing Angolans from north to south of the country, massing the access of customers to its products and services."
Kopo Kopo,https://www.crunchbase.com/organization/kopo-kopo,"Enterprise Software, Financial Services, FinTech, Information Technology, Mobile Payments, Payments, Social Entrepreneurship, Telecommunications","Nairobi, Nairobi Area, Kenya",Kopo Kopo is a US-based company that offers solutions to help businesses grow and prosper through payments.,"20,488","Kopo Kopo enables SMEs to grow and prosper by making mobile money smarter. They enable SMEs to accept, process, and analyze mobile payments in real-time and engage customers using highly targeted, market-appropriate promotional. and loyalty tools. Using existing local infrastructure, Kopo Kopo is accelerating the transition from cash-based economies to digital ones. Kopo Kopo's platform is secure and offers an online dashboard to download statements, view payments, and settle the funds to the bank account, enabling businesses to have an alternative to traditional payment methods. It also offers a suite of ISO/Acquirer tools for merchant acquirers like banks, mobile network operators, and 3rd parties. Founded in 2011 and is based in Nairobi, Kenya."
Zulzi,https://www.crunchbase.com/organization/zulzi-com,"E-Commerce, Grocery","Johannesburg, NA - South Africa, South Africa","Zulzi provides a same-day grocery delivery and pickup service, bringing fresh groceries and everyday essentials.","20,539","Zulzi provides a same-day grocery delivery and pickup service, bringing fresh groceries and everyday essentials."
Safeboda,https://www.crunchbase.com/organization/safeboda,"Apps, Consumer, Transportation","Kampala, Kampala, Uganda",The most reliable community-based urban transportation network in Africa,"20,596","At the click of a button, SafeBoda provides a safe, more convenient, mobile-first alternative to urban transportation for Africa’s booming young population.  They are working to improve the industry for both drivers and passengers by increasing the number of safe trips taken per day and by making travel around cities convenient and stress-free.Founded in the heart of Kampala Uganda, they are truly an African business, designed for the African context."
Ovex,https://www.crunchbase.com/organization/ovex,"Blockchain, Cryptocurrency, Internet","Cape Town, NA - South Africa, South Africa",OVEX is a cryptocurrency exchange company.,"20,739",
Caisse Régionale de Refinancement Hypothécaire (CRRH-Uemoa),https://www.crunchbase.com/organization/caisse-régionale-de-refinancement-hypothécaire-crrh-uemoa,"Finance, Financial Exchanges, Financial Services","Lomé, Maritime, Togo",CRRH-Uemoa is financial institution that provides funds to banks for the refinancing of mortgage loans of the people in UEMOA countries.,"21,050",
Zinox Technologies,https://www.crunchbase.com/organization/zinox-technologies,"Hardware, Manufacturing, Personal Development, Software","Lagos, Lagos, Nigeria",Highly skilled world class ICT Company dedicated to providing innovative products and solutions.,"21,258","The story of Zinox is that of a spiritual mustard seed that is destined to challenge capitalist structures of the 21st century by promoting a knowledge economy through Digital democracy. This is why Zinox in a short period has, in addition to being the pioneer manufacturer of Nigeria's First Internationally Certified Branded Computers, institutionalized high end ICT Solutions by moving the sector to the next level. For over 10 years, we have helped people both within and outside Nigeria achieve their dreams and aspirations as well as deploy their potentials to create wealth and richer lives for themselves and their societies by using technology to proffer simple solutions to the day-to-day challenges that they face at home, school, work and even at play. Founded in 2001 by a team of ICT Technocrats led by Mr. Leo Stan Ekeh, Zinox has flourished into one of the leading ICT Ecosystem in Africa. With strong interests in Computer Hardware Manufacturing, Distribution,, Critical ICT Solution, Telecoms, and world-class After Sales Support. This is why we are rated the No.1 Integrated ICT solutions Group in Africa."
AJUA,https://www.crunchbase.com/organization/msurvey,"Cloud Computing, Information Technology, Mobile, SaaS","Nairobi, Nairobi Area, Kenya","Ajua captures and organizes customer experiences in Africa, to understand consumers to drive business growth, and give consumers options.","21,396","mSurvey is a mobile survey platform driving decision-making for businesses across the continent of Africa and the Caribbean. mSurvey works with some well-known brands across the world; reducing churn, improving customer service, and increasing their Net Promoter Score. We solve the problem of customer service to market research with a technology and team that have deep local reach. We open up communication lines between our customers, their employees, and their customers."
Decagon,https://www.crunchbase.com/organization/decagon,"B2B, Consulting, Human Resources, Information Technology, Internet, Software, Software Engineering, Training","Lagos, Lagos, Nigeria","Decagon helps leading companies build faster with vetted, world-class remote software engineering talents.","21,461","Decagon is transforming high-potential individuals into the exceptional tech talent that companies need to scale. Its merit-based training program, which only recruits the top 0.5% of tech talent in Africa, produces world-class software engineers for companies globally.  The company operates a software engineering academy out of Lagos-Nigeria, producing developers with deploy-ready skills in Node, Java, iOS, Android, C#, Python, and agile methodology. Recruiting and training tech talents, and managing general work infrastructure, Decagon currently serves leading companies in Austin, NYC, Berlin, London and Rome."
Metro Africa Express,https://www.crunchbase.com/organization/max-2,"Delivery, Logistics, Supply Chain Management, Transportation","Lagos, Lagos, Nigeria",Metro Africa Express addresses the last-mile delivery and online-retail problems by using mobile and web platforms.,"21,551","Metro Africa Express addresses the last-mile delivery and online-retail problems by using mobile and web platforms to connect consumers, retail businesses, and independent drivers in real-time. They are eliminating all logistics and technology barriers that have historically prevented retail businesses in Africa from realizing their full potential."
Little Limited,https://www.crunchbase.com/organization/little-limited,"Apps, Information Technology, Public Transportation, Ride Sharing, Taxi Service, Transportation","Nairobi, Nairobi Area, Kenya",Little  is a Kenya-based indigenous ride-hailing service.,"21,636","Little integrates car transportation within Kenya onto a technology platform, ensuring convenient, transparent and quick service fulfillment for the customers and driver partners. Little does not own or operate its own fleet, but aggregates small operators and single vehicle owners. Cab owners benefit from the Little’s network and technology platform and that in turn helps them procure customers and enhance their income."
Asante Financial Services Group,https://www.crunchbase.com/organization/asante-financial-services-group,"Banking, Financial Services, Service Industry","Nairobi, Nairobi Area, Kenya",Asante Financial Services Group is a company that focuses on facilitating financial independence for businesses and individuals.,"21,656","Asante Financial Services Group is a company that focuses on facilitating financial independence for businesses and individuals. Their  products and services is designed to include loans, payments, deposits, investment and insurance-related products, and asset management products and services, to cater to the needs of African businesses and individuals."
DataProphet,https://www.crunchbase.com/organization/data-prophet-pty-ltd-,"Artificial Intelligence, Information Technology, Machine Learning, Manufacturing","Cape Town, NA - South Africa, South Africa",DataProphet is a developer of machine learning and AI technology to serve the manufacturing industry.,"21,683",DataProphet is a developer of machine learning and AI technology to serve the manufacturing industry. The company specializes in optimizing the complex manufacturing processes of key industrial verticals with state-of-the-art machine learning. Its AI-driven solutions leverage the existing data streams from the plant’s production line equipment to identify process efficiencies.
Crossfin Technology,https://www.crunchbase.com/organization/crossfin-technology-2,Financial Services,"Cape Town, NA - South Africa, South Africa",Crossfin invests in FINTECH solutions to enable growth for economies in Africa and beyond.,"21,698","Crossfin invests in FINTECH solutions to enable growth for economies in Africa and beyond. Crossfin invests in high growth and established cash generative businesses, offering investors a blended exposure to technology investments in Fintech."
Craydel,https://www.crunchbase.com/organization/craydel,Online Portals,"Nairobi, Nairobi Area, Kenya","Craydel is transforming the way students and working professionals in Africa discover, compare and apply to higher education.","21,781","Craydel is transforming the way students and working professionals in Africa discover, compare and apply to higher education. Our online platform has thousands of quality undergraduate, postgraduate and vocational programs offering degrees, diplomas and degrees, certificates from leading universities and colleges in 15 countries around the world. Many of these programs are even available online from the comfort of your home.Craydel makes it easy for you to compare and select the programs and institutions that best fit your career goals, personality, grades and budget."
Indicina,https://www.crunchbase.com/organization/indicina,"Analytics, FinTech, Information Technology","Lagos, Lagos, Nigeria",Indicina is a digital lending platform that provides analytics-driven credit decision for lenders.,"21,872","Indicina is a digital lending platform that provides analytics-driven credit decisions for lenders. Indicina offers technology solutions to empower businesses to offer credit to customers faster, more securely, and at scale. Indicina is not a lender and does not offer loans to customers. It was founded in 2018 and is based in Lagos, Nigeria."
Lulalend,https://www.crunchbase.com/organization/lulalend,"Customer Service, Financial Services, FinTech","Cape Town, NA - South Africa, South Africa",Lulalend is an online lending company that provides fast and easy working capital funding to small businesses in South Africa.,"21,912","LulaLend is more than a company. It’s a belief in the power of small business, making a difference, building a better solution and striving for excellence. We work hard to empower businesses across South Africa with the funds they need to grow, and we have a great time doing it!"
hearX Group,https://www.crunchbase.com/organization/hearx-group,"Artificial Intelligence, Health Care, Health Diagnostics, Medical Device, Mobile Apps, Software, Web Apps","Pretoria, NA - South Africa, South Africa","Affordable access to hearing care using digital solutions that anyone can use, anywhere","21,996","hearX is an award-winning start-up with the mission of providing affordable access to hearing healthcare using smart digital solutions. With a strong research and engineering background, we aim to democratize and decentralize hearing care, obliterating the traditional audiology model and market, which was never built to scale, instead providing hearing care to millions by leveraging our smart tech, big data and artificial intelligence expertise. The hearX Group four categories of solutions: Lead Generation and Remote Care solutions, Clinical solutions, Preventative Solutions as well as Direct to Consumer intervention solutions. We have had more than 1 000 000 tests and screenings done using our products across 39 countries. Our innovative solutions are as accurate, but faster, cheaper and easier to use than traditional methods. We pride ourselves in offering a fully managed service, providing an entirely new way to overcome traditional barriers to the detection and diagnosis of disabling hearing loss."
Roqqu,https://www.crunchbase.com/organization/roqqu,"Blockchain, Finance, Information Technology","Lagos, Lagos, Nigeria",Roqqu specializes in building blockchain-related technology by employing a digital product that allows merchants to accept payments.,"22,259",
Watu Credit,https://www.crunchbase.com/organization/watu-credit,"Finance, Financial Services, Sustainability","Mombasa, Coast, Kenya","Watu Credit Limited is a micro-finance institute specialized in emerging, sustainable and inclusive finance.","22,449","Watu Credit Limited is a micro-finance institute specialized in emerging, sustainable and inclusive finance.Their mission is to contribute to sustainable development by providing access to capital to the benefit of micro-small, medium enterprises, low and middle income households.their corporate values are focused on the principles of independence, integrity, transparency, strict corporate governance, strong risk management, competitive lending rates and innovation of products and services."
BlinkApp,https://www.crunchbase.com/organization/blinkapp,"Apps, Information Technology, Insurance, Mobile, Software","Cairo, Al Qahirah, Egypt",Automatic Accident Detection and Notification by smartphone only.,"22,465","linkApp is a mobile application that uses technology to save lives by monitoring drivers’ behaviors and sending out notifications to emergency services and personal network in case of road accidents. Whether you are an insurance company, a fleet owner or simply an individual who wants to be safe on the road, BlinkApp is here for you!"
Edita Food Industries,https://www.crunchbase.com/organization/edita-food-industries,"Food and Beverage, Food Processing, Hospitality, Manufacturing","Ramadan City, Ash Sharqiyah, Egypt","Edita Food Industries manufactures croissants, cakes, bakery products and distributes imported sweeteners, olive oils and pasta.","22,523","Edita manufactures, packages, markets and distributes a range of selected confectionary products such as jam, juices, ready-made meals, baked snack products and pastries, chocolates, dairy products, fruits and vegetables, meat products, and other food related products and ingredients used in the manufacturing of said products. The company is able to engage in alternative operations and activities in addition to amending its primary purpose in accordance with the Investment Law and with the explicit permission of the General Authority for Free Zones and Investments (GAFI). Edita is also capable of pursuing ownership stakes in other companies as well as entering into joint ventures of any kind, in accordance with Egypt’s laws and regulations."
Omnibiz,https://www.crunchbase.com/organization/omnibiz,"Advertising, Information Technology, Internet, Marketing","Lagos, Lagos, Nigeria",Omnibiz is a digital platform for small businesses willing to attract new customers.,"22,617",
Fido,https://www.crunchbase.com/organization/fido-3,Financial Services,"Accra, Greater Accra, Ghana",A credit first neobank for the unbanked,"22,653",AI driven digital bank
GoodsMart,https://www.crunchbase.com/organization/goodsmart,"Apps, Delivery Service, Retail, Shopping","Cairo, Al Qahirah, Egypt",GoodsMart is a premium household shopping app.,"22,701",GoodsMart is a premium household shopping app.
Bridge International Academies,https://www.crunchbase.com/organization/bridge-international-academies,"EdTech, Education, Primary Education","Nairobi, Nairobi Area, Kenya",Bridge International Academies is an operator of scholastic academy services used to provide education to underprivileged children.,"22,757","Bridge International Academies is an operator of scholastic academy services used to provide education to underprivileged children. Its services provide lessons based on national curricula, develop in-depth teacher training and programs, and use cutting-edge wireless technology that enables underprivileged children to get the right education, free of cost, for a brighter future."
Kashat,https://www.crunchbase.com/organization/kashat-ec8e,"Big Data, Financial Services, FinTech, Information Technology, Micro Lending, Mobile","Cairo, Al Qahirah, Egypt",Kashat is the first of its kind mobile app in Egypt designed to help micro businesses owners with small loans and other financial services,"22,823","Kashat, is a mobile financial services company aimed at serving the financial needs of the unbanked and underbanked in Egypt. Through its mobile app, Kashat, instantly lends small loans to the financially excluded. The service uses alternative cellular data to underwrite thin file(people who have never had access to credit before) customers to cultivate a financial identity by building a credit history with Kashat. Once customers have signed up and been approved for a loan, they hcan withdraw their loans through mobile wallets and other digital payment services. The entire process is enabled digitally, through Kashat's user friendly mobile app. Kashat is regulated by the Financial Regulatory Authority in Egypt."
IoT.nxt,https://www.crunchbase.com/organization/iot-nxt,"Information Services, Information Technology, Internet of Things, Software","Centurion, NA - South Africa, South Africa",IoT.nxt is a software development company that delivers innovative software and hardware solutions for the Internet of Things (IoT).,"22,840","IoT.nxt is a software development company that delivers innovative software and hardware solutions for the Internet of Things (IoT). IoT.nxt focuses on delivering innovative software and hardware solutions for the Internet of Things (IoT). IoT.nxt has developed an open platform framework that is used for rapid software development, integration and deployment in the Internet of Things realm. "
KarmSolar,https://www.crunchbase.com/organization/karmsolar,"Energy, Renewable Energy, Solar","Cairo, Al Qahirah, Egypt",KarmSolar is a private off-grid solar energy integrator in Egypt.,"23,128","KarmSolar is a private Egyptian company established in 2011 dedicated to providing innovative off-grid solar energy solutions that are commercially viable and easy-to-use in the agricultural, industrial, and business sectors. Through developing unique approaches to each project, we develop systems that harness the power of the sun and replace diesel-powered processes and thereby produce energy that is affordable, stable, reliable, and environmentally friendly."
Brantu,https://www.crunchbase.com/organization/brantu-bringing-brands-to-you,"E-Commerce, Fashion, Internet","Cairo, Al Qahirah, Egypt",BRANTU is an Egyptian-based fashion and technology company.,"23,144","BRANTU is on the mission to build the most integrated fashion operating system by digitizing the fashion demand and supply chain connecting brands, retailers, and manufacturers in frontier markets under a single technology stack. Today BRANTU work with more than 250 brands, 100+ retailers, and 50 manufacturers.  Founded in 2019, BRANTU has over 50 employees in Cairo and Stockholm and is backed by top regional and global investors."
ReelFruit,https://www.crunchbase.com/organization/reelfruit,"Food and Beverage, Food Processing","Yaba, Lagos, Nigeria",ReelFruit is a fruit agribusiness in Nigeria.,"23,476","ReelFruit’s had its humble beginnings in a small apartment in Surulere, Lagos. In 2012, their founder birthed the idea of a new snack company; A first-of-its-kind that would offer dried fruit snacks, made in Nigeria but sold to the world. With this dream in mind, we launched their first range of dried mango and pineapple in March 2013, their first lucky break came from Prince Ebeano Supermarket, Lekki, who stocked their products – and the rest is history."
ANOH Gas Processing Company,https://www.crunchbase.com/organization/anoh-gas-processing-company,Oil and Gas,"Owerri, Imo, Nigeria",ANOH Gas Processing Company is a midstream gas company.,"23,502",ANOH Gas Processing Company is a midstream gas company committed to the processing of gas from OML 53 for distribution to the local market.
Trove,https://www.crunchbase.com/organization/trove-c1ed,"Cryptocurrency, Finance, Financial Services, FinTech","Lagos, Lagos, Nigeria","Trove allows you invest in publicly traded stocks,cryptocurrency assets & bonds from a click of a button","23,548","An Investment app which aims to make the process of finding and selecting investments — specifically Cryptocurrencies , Stocks  & Bonds— easy and approachable for beginners.  With Trove You’ll find stock from public companies from the Nigeria and the U.S (In View) , as well as various bonds, 10 cryptocurrency assets and mutual funds. From the kyc & sign up process to the range of financial assets offered by the Trove platform , down to payment and buying and selling & a display of a personalized news feed of finance headlines about the stocks & assets you trade. Trove makes the whole process around micro investing seamless from start to finish"
Dolidol,https://www.crunchbase.com/organization/dolidol,"3D Printing, Consumer Goods, Manufacturing","Casablanca, Grand Casablanca, Morocco",Dolidol is one of the oldest mattress manufacturers in Morocco and a leading player in the industry.,"23,636","Established in 1972, Dolidol is one of the oldest mattress manufacturers in Morocco and a leading player in the industry. The Dolidol household brand name is one of the most recognized and widely used foam and bedding brands throughout Morocco, perceived as being higher-end with better quality products. Dolidol manufactures and sells polyurethane foam, mattresses and sofas, as well as non-woven textile. Dolidol has developed a wide distribution network in Morocco with 46 owned stores, 10 distribution facilities and over 1,100 distributors."
One Acre Fund,https://www.crunchbase.com/organization/one-acre-fund,"Finance, Financial Services, Non Profit, Training","Bungoma, Western, Kenya",One Acre Fund is a non-profit social enterprise that supplies financing and training for smallholder farmers.,"23,771","One Acre Fund is a non-profit organization that supplies smallholder farmers in East Africa with financing and training. The company provides subsistence farmers with tools, seed, fertilizers and offers market access, agricultural training, and weather-related risk insurance against potential harvest loss. One Acre Fund was founded by Eric Pohlman and Andrew Youn in 2006 and is headquartered in Bungoma, Kenya."
Ikeja Wireless,https://www.crunchbase.com/organization/ikeja-wireless,"Internet, Network Hardware, Wireless","Tembisa, NA - South Africa, South Africa",Ikeja is a wireless network provider that uses bespoke solutions to provide internet connectivity to locations.,"23,910","Ikeja Wireless is a Wireless internet service providor and WIFI network located in Crossroads, Nyanga, Gugulethu, Khayelitsha and surrounds in the Western Cape of South Africa."
Trade and Development Bank -TDB,https://www.crunchbase.com/organization/trade-and-development-bank-tdb,"Banking, Finance, Financial Services","Reduit, Moka, Mauritius","Trade and Development Bank is a multilateral, treaty-based development financial institution.","23,924","Established in 1985, the Eastern and Southern African Trade and Development Bank (TDB), formerly the PTA Bank, is a multilateral, treaty-based development financial institution, with assets of over US$ 5 billion. The Bank’s mandate is to finance and foster trade, regional economic integration and sustainable development, through trade finance, project and infrastructure finance, asset management and business advisory services. In the past five years, TDB’s shareholder base has grown from 19 to 35 members, including 22 Member States from across COMESA, EAC and SADC, 2 non-African member countries and 11 institutional investors. During the same period, shareholder equity funds increased by 150%, annual net profits by 100%, and non-performing loans were halved. TDB currently has regional offices in Nairobi, Harare and Addis Ababa, and principle offices in Bujumbura and Port-Louis."
SeamlessHR,https://www.crunchbase.com/organization/seamlesshr,"Human Resources, SaaS","Ikeja, Lagos, Nigeria","End-to-end, modern cloud-based HR platform for emerging markets.","23,947","SeamlessHR is building Africa’s first enterprise-grade, cloud-based HR platform. SeamlessHR’s end-to-end suite helps medium to large-sized companies automate and optimise their entire HR process from recruitment to retirement. SeamlessHR offers powerful technology that is well priced for emerging markets.  The product suite includes a Recruitment Management System, Core HR Management, Performance and Competency Management, Payroll Management, Leave Management, HR Analytics  and several other modules."
iProcure,https://www.crunchbase.com/organization/iprocure,"Agriculture, Analytics, Information Technology, Logistics, Packaging Services, Software, Supply Chain Management","Nairobi, Nairobi Area, Kenya",iProcure is a Kenyan startup focused on optimizing rural supply chains.,"24,092","iProcure is a Nairobi-based start-up working to optimize the agriculture input supply chain in rural Kenya. iProcure’s web and mobile technology solution improves agriculture retailers’ operations. It lets them manage ordering based on inventory, point of sale activities, and client profiles along with geo-located purchasing patterns, real-time agent performance and transaction analysis, and built-in mobile payments. As a result, retailers can better predict demand with business intelligence data, improve inventory management, and streamline distribution efficiency."
Arnergy,https://www.crunchbase.com/organization/green-energy-biofuels,"Energy, Renewable Energy","Lagos, Lagos, Nigeria",Arnergy is a distributed utility leveraging on internet of things (IOT) to providing reliable solar power for businesses in emerging markets,"24,120","ARNERGY's mission is to deliver energy solutions for productive use by deploying products, services and systems that power business operations and improve economic outcomes for our clients. Vision: Providing sustainable solutions to energy reliability issues across emerging markets."
Nala,https://www.crunchbase.com/organization/nala-money,"Banking, Financial Services","Dar Es Salaam, Dar es Salaam, Tanzania","NALA is an application interface that makes payments faster, simpler and more convenient for users. NALA works offline.","24,182","NALA is an application that acts as an interface on top of the mobile money payment systems that allows the user to make transfers, payments, and transactions seven times faster, without data connectivity."
Picup Technologies,https://www.crunchbase.com/organization/picup-technoloigies,"Apps, Delivery Service, Logistics","Cape Town, NA - South Africa, South Africa",Picup is a technology company focusing on last mile delivery.,"24,191","Picup is the leading on-demand logistics provider in South Africa with more than 150 (and growing) active delivery legends, servicing Cape Town and Gautengs growing ecommerce and business customer base. Picups focus is to improve delivery efficiencies to the last mile."
Aspen Pharmacare,https://www.crunchbase.com/organization/aspen-pharmacare,"Medical Device, Pharmaceutical","Durban, NA - South Africa, South Africa",Aspen Pharmacare is a global supplier of branded and generic pharmaceutical products.,"24,202","Aspen is a supplier of branded and generic pharmaceuticals in more than 150 countries across the world and of consumer and nutritional products in selected territories. Aspen is represented in South Africa, Australia, Hong Kong, Malaysia, Philippines, Taiwan, Japan, Kenya, Nigeria, Tanzania, Uganda, Ireland, United Arab Emirates, France, Germany, the Netherlands, Mauritius, Brazil, Mexico, Venezuela and the United States of America. Acquisitions announced in 2013 have further extended the Group’s emerging market presence to the Commonwealth of Independent States, comprising Russia and the former Soviet Republics as well as to Central and Eastern Europe. The Group currently has 50 business units."
Ison Xperiences,https://www.crunchbase.com/organization/ison-xperiences,Social Media,"Lagos, Lagos, Nigeria",iSON Xperiences  is the Business Process Outsourcing firm.,"24,316","Ison BPO is the largest independent call centre operator in Africa with presence in 10 Anglophone and Francophone countries as well as a large presence in India. It serves 100 million customers for clients in telecom, public sector and retail and employs 6,000 people, of which 3,400+ are employed in Africa, providing voice and CRM process solutions."
Daily Maverick,https://www.crunchbase.com/organization/daily-maverick,"Information Technology, News","Johannesburg, NA - South Africa, South Africa","The Daily Maverick is an online newspaper with news, information, analysis, newsletters, opinion pieces, and advertisements.","24,508","The Daily Maverick is an online newspaper with news, information, analysis, newsletters, opinion pieces, and advertisements. Its sections include Wired World, Africa, South Africa, world, business, life, and sports. The Daily Maverick was launched in 2009 and is operated from Johannesburg, South Africa."
Jise,https://www.crunchbase.com/organization/jise,"Delivery, Food Delivery, Last Mile Transportation, Logistics, Mobile Apps","Lagos, Lagos, Nigeria",Jise is a food delivery platform that connects customers with local and national businesses.,"24,511","Jise provides restaurant food delivery services, connecting customers with local businesses. We are extremely passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. By building the last-mile delivery infrastructure for local cities, Jise is bringing communities closer, one door at a time. It connects customers with their favorite local and national restaurants within Lekki Phase 1 for now. Marvelous Gbenro, Osazuwa Agbonze Jeremiah, Ibukun Olasupo, and Majid Tokurah came together to found the company in 2021. It is headquartered in Lagos, Nigeria."
OTO Courses,https://www.crunchbase.com/organization/oto-courses,"E-Learning, Education","Cairo, Al Qahirah, Egypt",OTO Course is an online digital learning platform that provides online English courses.,"24,578",
Lami,https://www.crunchbase.com/organization/lami-insurance,"Financial Services, InsurTech","Nairobi, Nairobi Area, Kenya",Lami is an end-to-end digital insurance platform and API that enables companies across sectors to offer insurance products.,"24,775","Lami is an end-to-end digital insurance platform and API that enables companies across sectors to offer insurance products. Its API allows underwriters to connect with consumer-facing companies that can provide embedded insurance as a value add for existing customers, many of whom are uninsured."
Thndr,https://www.crunchbase.com/organization/thndr,"Finance, Financial Services, FinTech, Software","Cairo, Al Qahirah, Egypt",Thndr is a financial services company that operates an app-based investment platform.,"24,818","Thndr is a financial services company that operates an app-based investment platform. It comes with 0% commission, no account minimum, access to market data, easy account setup, and funding processes. Users can also get access to the latest news, market data, and other educational tools.  Seif Amr established the company in 2020 in Cairo, Al Qahirah, Egypt."
OkHi,https://www.crunchbase.com/organization/okhi,"Apps, Logistics, Supply Chain Management","Nairobi, Nairobi Area, Kenya",OkHi is a digital addressing system for emerging markets.,"24,861","OkHi is a digital addressing system for emerging markets. The company wants to solve the lack of a physical address system in Kenya and beyond. They are building the next generation address system.  This system will unlock commerce through enhanced logistics, save lives through improved emergency services, and grow access to finance through better personal identification."
KHULA!,https://www.crunchbase.com/organization/khula,"Agriculture, AgTech, Farming, Marketplace","Johannesburg, NA - South Africa, South Africa",Khula is a Software and mobile marketplace for farmers.,"24,948","Khula is a business which creates technology solutions for agriculture in Africa.  Our main focus is on creating an inclusive mobile marketplace which will drive the success and growth of farmers, disrupting the wholesale food market. This marketplace optimizes logistics by using geolocation and by offering efficient and cost-effective logistics services for emerging farmers."
Evolve Credit,https://www.crunchbase.com/organization/evolve-credit,"Consumer Lending, E-Commerce, Fashion, Financial Services, FinTech, Payments, Personal Finance, Retail","Lagos, Lagos, Nigeria","A loan and financial product marketplace that allows African consumers to find, compare, and apply for loan offers from select lenders.","25,003",
Termii,https://www.crunchbase.com/organization/termii-networks,"Digital Marketing, Digital Media, Email Marketing, Marketing Automation, Messaging, SMS","New Lagos, Lagos, Nigeria","Termii helps African businesses communicate with customers across SMS, email, voice, and instant messaging channels.","25,037","Termii is an online platform that helps teams secure repeat customers by sending personalized emails and SMS through multiple.Termii helps African businesses communicate with customers across SMS, email, voice, and instant messaging channels. The company was founded in 2014 and is based in Lagos, Nigeria."
Groupe COFINA,https://www.crunchbase.com/organization/groupe-cofina,"Finance, Financial Services, Small and Medium Businesses, Venture Capital","Abidjan, Lagunes, Côte d'Ivoire",Groupe COFINA is an African financial institution dedicated to mesofinance.,"25,236","Groupe COFINA is an African financial institution dedicated to mesofinance. It ambitions to become an economic player that favors an upscaling of financial services in Africa. By investing in the already very dynamic private sector, Cofina participates in the formalization of the African business market and makes financial inclusion its first priority. The company was established in 2013, present in six French-speaking African countries (Congo-Brazzaville, Ivory Coast, Gabon, Guinea Conakry, Mali, Senegal)."
FinChatBot,https://www.crunchbase.com/organization/finchatbot,"Artificial Intelligence, Computer, Financial Services, FinTech","Johannesburg, NA - South Africa, South Africa",We conversational AI solutions to help financial service providers acquire & retain customers,"25,369","FinChatBot is an AI-powered chat bot for the financial industry.  Enriched with Machine Learning, our bot enables financial services providers to increase their onsite conversion rate while gathering more information about their potential customers."
Dimension Data,https://www.crunchbase.com/organization/dimension-data,"Enterprise Software, Information Services, Information Technology, Mobile, Mobile Devices, SaaS, Software","Bryanston, NA - South Africa, South Africa",Dimension Data uses the power of technology to help organisations achieve great things in the digital era.,"25,421","Dimension Data uses the power of technology to help organisations achieve great things in the digital era. As a member of the NTT Group, we accelerate our clients’ ambitions through digital infrastructure, hybrid cloud, workspaces for tomorrow, and cybersecurity. With a turnover of USD 7.5 billion, offices in 58 countries, and 31,000 employees, we deliver wherever our clients are, at every stage of their technology journey. We’re proud to be the Official Technology Partner of Amaury Sport Organisation, organiser of the Tour de France, and the title partner of the cycling team, Team Dimension Data for Qhubeka. Go to dimensiondata.com"
